Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ewma,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.9999999999966692,0.28803733842943635,2,1874,2,247,2125
ewma,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.9999999999966692,-1.21296922956868,0,1620,1,217,1838
ewma,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.9999999999966692,-2.946589882299272,6,13540,24,1582,15152
ewma,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.9999999999966692,-0.9942962488762375,2,13499,2,1578,15081
ewma,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.9999999999966692,-3.0,0,13559,0,1593,15152
ewma,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.9999999999966692,-1.0349185207240645,2,13570,7,1524,15103
ewma,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.9999999999966692,1.061513341325825,3,13498,3,1579,15083
ewma,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.9999999999966692,-1.5562910434407309,1,13659,1,1431,15092
ewma,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.9999999999966692,0.7597207259407636,3,13548,5,1587,15143
ewma,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.9999999999966692,-1.1379796289101578,4,13505,9,1583,15101
ewma,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.9999999999966692,-2.579314922690807,1,13518,2,1587,15108
ewma,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.9999999999966692,-3.3941114027285337,5,13501,30,1580,15116
Totals,,,,-108.65922130935544,64,298958,389,33431,332842
