Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
adaptiveThreshold,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.5328252743830345,-2.1988925805522324,0,1782,2,239,2023
adaptiveThreshold,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.5328252743830345,1.7360251845026102,2,1875,0,248,2125
adaptiveThreshold,reward_low_FN_rate,realTraffic/speed_6005.csv,0.5328252743830345,0.8426220017559383,1,1886,0,238,2125
adaptiveThreshold,reward_low_FN_rate,realTraffic/speed_7578.csv,0.5328252743830345,-2.287305418378029,2,841,1,114,958
adaptiveThreshold,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.5328252743830345,-1.1265855756115903,1,1871,0,249,2121
adaptiveThreshold,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.5328252743830345,-3.575981330785282,1,1872,4,248,2125
adaptiveThreshold,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.5328252743830345,0.4249371811857847,1,1617,4,216,1838
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.5328252743830345,-3.3398206255531004,12,13495,69,1576,15152
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.5328252743830345,-1.4947379233835465,4,13481,20,1576,15081
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.5328252743830345,0.8445547725989613,4,13542,17,1589,15152
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.5328252743830345,-1.0845620468184545,7,13540,37,1519,15103
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.5328252743830345,-2.1124341681785075,6,13464,37,1576,15083
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.5328252743830345,-1.9062070588942168,7,13644,16,1425,15092
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.5328252743830345,-0.9241800618022423,6,13526,27,1584,15143
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.5328252743830345,-2.488784654825321,6,13466,48,1581,15101
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.5328252743830345,-2.2344198373238946,3,13493,27,1585,15108
adaptiveThreshold,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.5328252743830345,-1.086780219856665,9,13480,51,1576,15116
Totals,,,,-82.2374560032467,134,298609,738,33361,332842
